Mar 31 18:10:45 raspberrypi seqgen: Sequencer @ sec=0, msec=283
Mar 31 18:10:45 raspberrypi seqgen: Frame Sampler thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp with Image Analysis thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Difference Image Proc thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Processed Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Send Time-stamped Image to Remote thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: 10 sec Tick Debug thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Sequencer thread @ sec=0, msec=285
Mar 31 18:11:00 raspberrypi seqgen: #012#011Execution Time for S2 = 75.407959
Mar 31 18:11:00 raspberrypi seqgen: #012#011Execution Time for S4 = 75.387909
Mar 31 18:11:00 raspberrypi seqgen: #012#011Execution Time for S1 = 17.651760
Mar 31 18:11:00 raspberrypi seqgen: #012#011Execution Time for S1 = 18.277187
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S4 = 37.702633
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S1 = 37.714821
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S6 = 37.693886
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S2 = 37.712269
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S3 = 23.747507
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S5 = 23.759487
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S1 = 17.951040
Mar 31 18:11:01 raspberrypi seqgen: #012#011Execution Time for S1 = 17.634155
Mar 31 18:11:02 raspberrypi seqgen: #012#011Execution Time for S6 = 37.750141
Mar 31 18:11:02 raspberrypi seqgen: #012#011Execution Time for S4 = 37.753887
Mar 31 18:11:02 raspberrypi seqgen: #012#011Execution Time for S1 = 37.758369
Mar 31 18:11:02 raspberrypi seqgen: #012#011Execution Time for S2 = 37.754673
Mar 31 18:11:02 raspberrypi seqgen: #012#011Execution Time for S1 = 26.433712
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S1 = 35.361080
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S6 = 75.341743
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S1 = 75.385139
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S4 = 75.378464
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S2 = 75.384453
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S5 = 36.810280
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S3 = 36.940807
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S1 = 17.645777
Mar 31 18:11:03 raspberrypi seqgen: #012#011Execution Time for S1 = 18.183807
Mar 31 18:11:04 raspberrypi seqgen: #012#011Execution Time for S1 = 75.523537
Mar 31 18:11:04 raspberrypi seqgen: #012#011Execution Time for S6 = 75.500771
Mar 31 18:11:04 raspberrypi seqgen: #012#011Execution Time for S2 = 75.517174
Mar 31 18:11:04 raspberrypi seqgen: #012#011Execution Time for S4 = 75.507278
Mar 31 18:11:04 raspberrypi seqgen: #012#011Execution Time for S1 = 17.598227
Mar 31 18:11:04 raspberrypi seqgen: #012#011Execution Time for S1 = 17.598852
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S6 = 75.624954
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S4 = 75.644478
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S1 = 75.653648
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S2 = 75.659851
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S5 = 43.852055
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S7 = 43.959347
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S3 = 43.987160
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S1 = 17.591093
Mar 31 18:11:05 raspberrypi seqgen: #012#011Execution Time for S1 = 17.633177
Mar 31 18:11:06 raspberrypi seqgen: #012#011Execution Time for S6 = 75.428757
Mar 31 18:11:06 raspberrypi seqgen: #012#011Execution Time for S2 = 75.463448
Mar 31 18:11:06 raspberrypi seqgen: #012#011Execution Time for S1 = 75.463608
Mar 31 18:11:06 raspberrypi seqgen: #012#011Execution Time for S4 = 75.444443
Mar 31 18:11:06 raspberrypi seqgen: #012#011Execution Time for S1 = 17.584898
Mar 31 18:11:06 raspberrypi seqgen: #012#011Execution Time for S1 = 18.369131
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S1 = 75.541847
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S6 = 75.519501
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S4 = 75.542839
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S2 = 75.546227
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S3 = 36.844837
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S5 = 36.814629
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S1 = 17.592243
Mar 31 18:11:07 raspberrypi seqgen: #012#011Execution Time for S1 = 17.627558
Mar 31 18:11:08 raspberrypi seqgen: #012#011Execution Time for S6 = 75.574097
Mar 31 18:11:08 raspberrypi seqgen: #012#011Execution Time for S4 = 75.580032
Mar 31 18:11:08 raspberrypi seqgen: #012#011Execution Time for S1 = 75.585564
Mar 31 18:11:08 raspberrypi seqgen: #012#011Execution Time for S2 = 75.579987
