Mar 31 18:21:40 raspberrypi seqgen2x: #012BEGIN LOG
Mar 31 18:21:40 raspberrypi seqgen2x: Frame Sampler thread @ sec=0, msec=129
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.569882
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.603009
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.672489
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.628788
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201577
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.239079
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.569673
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.556548
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.557433
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.552381
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201369
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.239288
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.563424
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.571757
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.554100
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.514567
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S7 = 2.004174
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S3 = 2.061208
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S5 = 2.022769
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201681
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201629
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.604624
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.610874
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.616030
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.630198
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.211838
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201837
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.566288
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.583216
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.608426
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.609207
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.691240
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.586651
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.202046
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201734
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.538943
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.579362
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.558735
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.546965
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.211265
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201525
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.586758
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.520713
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.583997
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.560089
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.670874
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.652227
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.203087
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.052037
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.209654
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.218665
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.203559
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.196215
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.097508
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701237
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.556544
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.559566
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.550450
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.520553
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.966252
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S5 = 0.991513
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.735249
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.702487
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.499250
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.526439
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.506751
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.510240
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701653
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701445
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.453778
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.481592
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.472843
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.469196
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.978075
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S5 = 0.906613
Mar 31 18:21:42 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701550
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701393
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.502375
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.488052
